,word,count
756,vice,1624
757,immediately,1622
758,expect,1621
759,storage,1620
760,nov,1620
761,related,1619
762,te,1615
763,coach,1614
764,class,1610
765,personal,1610
766,model,1610
767,become,1603
768,went,1602
769,ago,1602
770,washington,1602
771,low,1597
772,step,1593
773,pick,1592
774,th,1587
775,hot,1585
776,story,1582
777,memo,1581
778,along,1580
779,ok,1575
780,appropriate,1575
781,allow,1574
782,outside,1571
783,password,1560
784,five,1559
785,version,1559
786,la,1558
787,stay,1557
788,post,1555
789,couple,1551
790,posted,1547
791,seen,1545
792,miss,1544
793,hold,1540
794,ever,1538
795,preferred,1536
796,bryan,1533
797,canada,1533
798,prc,1530
799,spread,1526
800,rank,1525
801,bush,1524
802,sorry,1522
803,andor,1522
804,client,1518
805,directly,1514
806,cell,1514
807,league,1514
808,longer,1513
809,procedure,1513
810,growth,1501
811,seems,1498
812,matter,1496
813,turn,1494
814,function,1493
815,sound,1487
816,national,1486
817,pl,1483
818,internal,1482
819,metal,1481
820,signed,1481
821,ferc,1481
822,university,1479
823,pretty,1478
824,appreciate,1477
825,release,1477
826,curve,1475
827,beckhouect,1466
828,recently,1465
829,playing,1464
830,newsletter,1463
831,owner,1460
832,roundtrip,1460
833,fun,1459
834,half,1458
835,tonight,1457
836,johnson,1457
837,flow,1456
838,agreed,1456
839,dollar,1453
840,simply,1453
841,debt,1449
842,started,1448
843,cannot,1448
844,jr,1446
845,arnoldhouectect,1436
846,winter,1433
847,harry,1428
848,shanna,1428
849,benefit,1426
850,front,1424
851,beginning,1423
852,earlier,1423
853,taken,1422
854,gore,1421
855,maybe,1419
856,heard,1418
857,nothing,1416
858,supply,1410
859,allocation,1410
860,fernley,1409
861,situation,1408
862,chicago,1408
863,generation,1405
864,according,1404
865,ng,1404
866,entity,1403
867,reservation,1401
868,feature,1400
869,confidential,1399
870,light,1397
871,brenda,1395
872,goal,1393
873,receiving,1392
874,appointment,1391
875,ou,1390
876,matt,1389
877,impacted,1389
878,live,1387
879,cover,1387
880,strong,1386
881,nice,1383
882,six,1382
883,terry,1381
884,managing,1380
885,variance,1378
886,present,1374
887,andrew,1374
888,includes,1373
889,care,1367
890,enw,1367
891,act,1363
892,uk,1363
893,equity,1362
894,ed,1361
895,official,1361
896,require,1360
897,de,1358
898,profit,1356
899,rest,1355
900,stop,1355
901,airline,1354
902,chart,1353
903,certain,1348
904,ca,1346
905,florida,1346
906,revenue,1345
907,success,1340
908,testing,1340
909,face,1336
910,worth,1335
911,hey,1333
912,consider,1332
913,dpr,1332
914,ny,1330
915,correct,1329
916,took,1328
917,condition,1327
918,proposed,1326
919,water,1325
920,confirm,1325
921,select,1322
922,barry,1321
923,balance,1320
924,significant,1320
925,dallas,1319
926,missed,1319
927,added,1318
928,monthly,1315
929,whats,1314
930,fine,1314
931,walk,1313
932,cent,1312
933,taylor,1312
934,station,1312
935,example,1311
936,origination,1306
937,oct,1303
938,beer,1300
939,hall,1300
940,flight,1297
941,vote,1297
942,actually,1296
943,rac,1294
944,hr,1292
945,involved,1291
946,mile,1290
947,alignleftfont,1289
948,enter,1288
949,emission,1288
950,software,1287
951,reported,1286
952,determine,1284
953,therefore,1284
954,dan,1283
955,student,1281
956,randy,1280
957,anderson,1280
958,input,1279
959,assistant,1276
960,cindy,1274
961,al,1273
962,rating,1269
963,came,1266
964,saving,1266
965,assistance,1265
966,learn,1264
967,lay,1264
968,pge,1264
969,doorstep,1262
970,invoice,1261
971,excelronline,1261
972,changed,1259
973,green,1258
974,oneway,1258
975,everything,1255
976,clear,1254
977,knee,1252
978,government,1252
979,yahoo,1251
980,broadband,1250
981,laura,1249
982,egm,1249
983,rob,1245
984,leslie,1243
985,lower,1242
986,ball,1241
987,martin,1241
988,miller,1241
989,met,1240
990,candidate,1238
991,mind,1235
992,confirmed,1235
993,backout,1234
994,instead,1233
995,unify,1233
996,andy,1231
997,lost,1230
998,et,1230
999,kathy,1229
1000,worked,1229
1001,sheet,1228
1002,count,1224
1003,evening,1223
1004,men,1222
1005,participate,1222
1006,strategy,1221
1007,ability,1218
1008,audit,1217
1009,quote,1214
1010,aware,1213
1011,election,1212
1012,paper,1210
1013,property,1209
1014,finance,1208
1015,loan,1206
1016,resume,1205
1017,enjoy,1204
1018,corporation,1203
1019,quality,1202
1020,box,1200
1021,ken,1198
1022,youll,1196
1023,agree,1196
1024,paid,1196
1025,carry,1196
1026,annual,1196
1027,india,1191
1028,technical,1189
1029,promotion,1189
1030,remove,1188
1031,bonus,1185
1032,michelle,1185
1033,austin,1182
1034,rather,1182
1035,near,1181
1036,size,1174
1037,ceo,1173
1038,seat,1171
1039,isnt,1170
1040,follows,1169
1041,agenda,1166
1042,higher,1162
1043,electric,1160
1044,local,1158
1045,approved,1156
1046,structure,1155
1047,hit,1154
1048,representative,1154
1049,eye,1152
1050,talking,1149
1051,ten,1148
1052,behind,1147
1053,quantity,1144
1054,partner,1143
1055,folder,1142
1056,spreadsheet,1142
1057,affiliate,1136
1058,tool,1136
1059,critical,1131
1060,various,1131
1061,cd,1126
1062,relation,1125
1063,peter,1123
1064,topic,1123
1065,otherwise,1121
1066,appears,1121
1067,press,1121
1068,existing,1120
1069,basshouect,1119
1070,chairperson,1116
1071,welcome,1112
1072,saw,1111
1073,approximately,1111
1074,girl,1110
1075,drive,1108
1076,mom,1106
1077,video,1106
1078,bowl,1103
1079,cap,1103
1080,sore,1103
1081,federal,1103
1082,quick,1098
1083,calgary,1098
1084,agency,1096
1085,transfer,1090
1086,jay,1089
1087,associated,1089
1088,louise,1088
1089,advance,1088
1090,whole,1084
1091,target,1082
1092,drop,1082
1093,partnership,1081
1094,deadline,1080
1095,suggestion,1079
1096,park,1078
1097,peggy,1078
1098,reference,1074
1099,log,1074
1100,portland,1074
1101,published,1073
1102,article,1068
1103,counterparty,1068
1104,kind,1067
1105,wed,1066
1106,edward,1063
1107,estimate,1062
1108,remain,1059
1109,receipt,1055
1110,medium,1055
1111,filing,1053
1112,catch,1052
1113,black,1052
1114,normal,1051
1115,unless,1050
1116,sending,1049
1117,store,1049
1118,fan,1047
1119,construction,1047
1120,fontfontbrbra,1047
1121,ahead,1046
1122,understanding,1044
1123,private,1043
1124,shit,1040
1125,relationship,1040
1126,discount,1040
1127,child,1037
1128,almost,1035
1129,recruiting,1035
1130,finally,1034
1131,track,1031
1132,pricing,1030
1133,entire,1030
1134,written,1030
1135,participation,1030
1136,survey,1029
1137,exposure,1027
1138,providing,1026
1139,quickly,1025
1140,northern,1024
1141,here,1023
1142,setting,1022
1143,apply,1021
1144,brad,1020
1145,mentioned,1020
1146,created,1020
1147,fuel,1020
1148,revised,1018
1149,improve,1018
1150,jean,1017
1151,sue,1017
1152,town,1016
1153,watch,1015
1154,proposal,1014
1155,content,1014
1156,fill,1013
1157,bruce,1011
1158,bit,1010
1159,ne,1010
1160,insufficient,1010
1161,prohibited,1009
1162,indicated,1009
1163,actual,1008
1164,leader,1008
1165,especially,1007
1166,talked,1007
1167,ie,1005
1168,easy,1003
1169,choice,1003
1170,hunter,1001
1171,community,1000
1172,christmas,999
1173,havent,996
1174,united,995
1175,increased,995
1176,direction,994
1177,louis,993
1178,thinking,992
1179,progress,992
1180,body,987
1181,instruction,987
1182,sitara,985
1183,timothy,984
1184,budget,984
1185,steven,982
1186,broker,982
1187,dad,980
1188,weve,980
1189,approach,978
1190,law,978
1191,controller,977
1192,priority,973
1193,contained,972
1194,swap,971
1195,dog,971
1196,tough,971
1197,difference,970
1198,playoff,966
1199,closed,964
1200,pass,963
1201,choose,963
1202,hector,962
1203,conversation,962
1204,announced,961
1205,injured,961
1206,among,960
1207,decided,959
1208,effect,958
1209,package,958
1210,manage,958
1211,professional,957
1212,unable,957
1213,ets,957
1214,electronic,955
1215,land,954
1216,personnel,954
1217,extra,953
1218,outstanding,951
1219,auction,948
1220,sender,948
1221,patrick,948
1222,environmental,948
1223,matchup,947
1224,main,946
1225,considered,945
1226,denver,944
1227,download,940
1228,maintenance,940
1229,alignmiddlefont,939
1230,lee,938
1231,red,937
1232,posting,936
1233,commitment,936
1234,doug,935
1235,oh,934
1236,develop,932
1237,questionable,932
1238,industrial,931
1239,sold,931
1240,mid,930
1241,diamond,929
1242,stuff,928
1243,bond,928
1244,handle,928
1245,bottom,927
1246,force,927
1247,independent,926
1248,christopher,926
1249,disclosure,925
1250,located,925
1251,advantage,925
1252,seeing,925
1253,generator,924
1254,wine,923
1255,scheduling,923
1256,reach,922
1257,avoid,922
1258,giving,920
1259,spot,920
1260,implementation,917
1261,submitted,914
1262,single,914
1263,shipping,914
1264,income,914
1265,previous,913
1266,kenneth,913
1267,resolution,913
1268,solid,911
1269,crude,910
1270,attention,910
1271,continental,910
1272,spend,909
1273,initial,907
1274,strategic,906
1275,score,905
1276,road,905
1277,pool,905
1278,assume,904
1279,counterparties,904
1280,allenhouect,904
1281,img,904
1282,hell,903
1283,as,903
1284,extension,903
1285,reduction,899
1286,print,898
1287,kid,897
1288,continues,897
1289,icap,897
1290,youve,896
1291,sheri,896
1292,offered,895
1293,club,891
1294,janet,891
1295,buying,890
1296,offense,888
1297,format,886
1298,jordan,885
1299,respect,885
1300,title,885
1301,upgrade,885
1302,meter,884
1303,study,883
1304,continued,883
1305,gave,882
1306,rushing,882
1307,chad,882
1308,keith,881
1309,master,881
1310,voice,879
1311,spoke,878
1312,true,878
1313,bay,876
1314,opinion,875
1315,rental,875
1316,el,874
1317,johnarnoldexcelrcom,874
1318,shall,873
1319,attempt,872
1320,selling,872
1321,msn,871
1322,merger,871
1323,delivered,870
1324,identified,868
1325,receiver,867
1326,linda,867
1327,causey,867
1328,trtd,867
1329,suggested,866
1330,court,866
1331,supervisor,866
1332,mexico,864
1333,happen,864
1334,overall,864
1335,guess,863
1336,there,862
1337,history,862
1338,cruise,861
1339,campbell,861
1340,college,860
1341,drink,859
1342,japan,857
1343,writes,857
1344,nymex,856
1345,port,856
1346,wait,855
1347,vega,855
1348,delete,853
1349,melissa,853
1350,played,852
1351,ankle,851
1352,boy,850
1353,foot,850
1354,reuters,850
1355,certainly,849
1356,star,849
1357,stacey,849
1358,allenhouectect,849
1359,window,848
1360,touch,847
1361,nebraska,847
1362,regulatory,845
1363,buchanan,845
1364,recommendation,845
1365,selected,844
1366,forum,844
1367,arizona,843
1368,mw,843
1369,placed,842
1370,waiting,840
1371,build,840
1372,announcement,834
1373,logistics,834
1374,finding,834
1375,winner,833
1376,decide,832
1377,adam,830
1378,worldwide,829
1379,express,828
1380,jackson,828
1381,sandra,828
1382,huge,827
1383,door,826
1384,young,826
1385,similar,826
1386,hopefully,826
1387,glad,826
1388,notification,826
1389,investing,825
1390,eel,825
1391,speak,824
1392,leadership,824
1393,fundamental,823
1394,round,823
1395,reached,823
1396,fully,823
1397,transportation,823
1398,privacy,823
1399,god,822
1400,donna,822
1401,design,822
1402,economic,821
1403,european,820
1404,cause,819
1405,named,819
1406,quite,819
1407,thanksgiving,815
1408,contain,814
1409,southwest,814
1410,subscription,814
1411,helvetica,814
1412,provides,813
1413,journal,813
1414,identify,813
1415,tank,809
1416,fast,808
1417,initiative,808
1418,pjm,808
1419,screen,807
1420,photo,807
1421,base,806
1422,touchdown,806
1423,calling,805
1424,leading,804
1425,aa,804
1426,asap,803
1427,concerned,802
1428,factor,800
1429,suite,796
1430,transition,796
1431,retail,795
1432,processing,795
1433,kay,795
1434,debbie,794
1435,perhaps,793
1436,economy,793
1437,sarah,792
1438,break,792
1439,assist,792
1440,food,791
1441,enpower,791
1442,phase,789
1443,ext,789
1444,backup,789
1445,inside,787
1446,primary,787
1447,adjustment,786
1448,theyre,786
1449,availability,785
1450,human,784
1451,stephanie,784
1452,double,784
1453,largest,783
1454,sense,783
1455,coverage,783
1456,compliance,781
1457,kimberly,779
1458,notify,778
1459,previously,778
1460,color,777
1461,seem,771
1462,tariff,771
1463,former,770
1464,mailing,770
1465,advise,770
1466,congratulation,769
1467,asking,768
1468,contribution,767
1469,attending,767
1470,wes,767
1471,moved,765
1472,addressed,765
1473,telephone,765
1474,hourly,764
1475,favorite,764
1476,youd,764
1477,reminder,764
1478,shopping,762
1479,task,762
1480,seattle,762
1481,realtime,762
1482,sec,761
1483,margin,759
1484,giant,759
1485,common,759
1486,consumer,759
1487,feb,758
1488,often,757
1489,shelley,757
1490,planned,754
1491,documentation,754
1492,cassandra,754
1493,ryan,753
1494,herein,752
1495,folk,751
1496,middle,751
1497,improvement,751
1498,kick,750
1499,nng,750
1500,offering,749
1501,western,748
1502,francisco,748
1503,wrong,747
1504,spring,747
1505,southern,746
1506,difficult,746
1507,prepared,746
1508,manual,746
1509,craig,746
1510,perform,745
1511,derivative,745
1512,kitchen,744
1513,miami,744
1514,reviewed,744
1515,epa,742
1516,trial,742
1517,looked,740
1518,forecast,740
1519,pricehouectect,740
1520,kelly,739
1521,engine,739
1522,transwestern,738
1523,war,737
1524,fwd,737
1525,opening,737
1526,search,737
1527,award,737
1528,except,736
1529,truck,735
1530,serve,735
1531,rich,734
1532,coal,734
1533,removed,733
1534,missing,733
1535,trouble,732
1536,minimum,732
1537,willing,730
1538,shop,730
1539,skilling,730
1540,bear,729
1541,biggest,729
1542,kristin,729
1543,regular,728
1544,authorized,728
1545,tech,728
1546,reduce,728
1547,pleased,726
1548,entered,726
1549,hill,725
1550,stage,724
1551,liquid,723
1552,rebecca,723
1553,submit,722
1554,billing,721
1555,throughout,721
1556,appear,720
1557,core,720
1558,suggest,719
1559,despite,719
1560,fly,718
1561,issued,717
1562,saying,716
1563,specialist,715
1564,roll,715
1565,tw,715
1566,closing,715
1567,privileged,714
1568,sector,713
1569,bar,713
1570,managed,713
1571,administration,713
1572,diego,712
1573,stand,711
1574,synchronizing,711
1575,guide,710
1576,beach,710
1577,stated,709
1578,ii,708
1579,daniel,708
1580,invitation,708
1581,separate,707
1582,assessment,707
1583,oncall,707
1584,html,706
1585,register,706
1586,los,706
1587,nyisotechexchange,706
1588,sept,705
1589,raise,705
1590,obligation,705
1591,leaving,704
1592,informed,704
1593,volatility,704
1594,block,703
1595,sincerely,702
1596,monitor,702
1597,king,702
1598,attendee,702
1599,range,701
1600,shipper,701
1601,resort,701
1602,equipment,700
1603,tony,699
1604,concerning,698
1605,rotation,697
1606,microsoft,697
1607,arrangement,697
1608,successful,696
1609,challenge,695
1610,accept,695
1611,mo,694
1612,lexi,694
1613,fred,693
1614,fit,693
1615,seller,693
1616,assignment,693
1617,began,692
1618,interesting,692
1619,vp,691
1620,county,691
1621,julie,690
1622,claim,690
1623,grant,690
1624,gain,690
1625,fixed,690
1626,accurate,689
1627,andrea,689
1628,positive,688
1629,wireless,687
1630,pull,686
1631,behalf,686
1632,skill,686
1633,santa,685
1634,joseph,685
1635,starter,684
1636,series,681
1637,age,680
1638,importance,680
1639,bet,679
1640,producer,679
1641,ward,679
1642,gone,676
1643,announce,676
1644,anyway,676
1645,guarantee,676
1646,dick,675
1647,tip,675
1648,trust,675
1649,career,674
1650,sea,674
1651,quarterback,674
1652,traded,672
1653,nfl,672
1654,lewis,672
1655,delay,670
1656,clean,670
1657,den,669
1658,busy,669
1659,registration,668
1660,realize,668
1661,alignright,668
1662,ron,667
1663,noon,666
1664,ongoing,666
1665,selection,665
1666,knowledge,665
1667,mobile,664
1668,seven,663
1669,harris,662
1670,regional,662
1671,oneal,661
1672,wouldnt,661
1673,clearly,661
1674,fear,660
1675,russell,660
1676,alan,660
1677,calculation,660
1678,approve,658
1679,contains,658
1680,pending,658
1681,figure,658
1682,immediate,658
1683,deliver,658
1684,oak,658
1685,none,657
1686,excellent,656
1687,super,656
1688,barbara,656
1689,invite,656
1690,fell,655
1691,usa,655
1692,executed,655
1693,hearing,654
1694,charlie,654
1695,mother,653
1696,baughman,653
1697,wilson,653
1698,registered,653
1699,thompson,653
1700,lenharthouectect,652
1701,objective,652
1702,golf,651
1703,joined,651
1704,arrive,650
1705,infrastructure,649
1706,prefer,649
1707,mg,649
1708,write,648
1709,shot,648
1710,bus,647
1711,measure,647
1712,combined,646
1713,relevant,645
1714,eastern,645
1715,definitely,645
